model,project,file,status,failed_total_tokens,peer_model,peer_tokens,peer_attempts,peer_action_seq,log_path,peer_log_path
o4mini,ST,ST__subregion_serialize_and_write_relative.rs,FAILED,566918,claude,99951,7,postcondition_repair precondition_repair precondition_repair INSTANTIATE_FORALL ADD_TRIGGER_ASSERT INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_008/o-ST__subregion_serialize_and_write_relative-20251129-082820/verus-repair.log,all_batch_results-cyy-claude/results-batch_008/o-ST__subregion_serialize_and_write_relative-20251202-123521/verus-repair.log
claude-s4,ST,ST__setup_write_setup_metadata_to_region.rs,FAILED,565654,o4mini,198235,10,precondition_repair NONLINEAR_ARITHMETIC REVEAL_OPAQUE postcondition_repair USELEMMA USELEMMA postcondition_repair USELEMMA EXTENSIONAL_EQUALITY,all_batch_results-cyy-claude-s4/results-batch_008/o-ST__setup_write_setup_metadata_to_region-20251204-093659/verus-repair.log,all_batch_results-cyy-o4mini/results-batch_008/o-ST__setup_write_setup_metadata_to_region-20251129-063553/verus-repair.log
gpt5,VE,VE__regular__repetition__impl1__lemma_spec_parse_err_unrecoverable.rs,TIMEOUT,560611,claude-s4,14085,3,postcondition_repair INDUCTION,all_batch_results-cyy-gpt5/results-batch_008/o-VE__regular__repetition__impl1__lemma_spec_parse_err_unrecoverable-20251129-164228/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_008/o-VE__regular__repetition__impl1__lemma_spec_parse_err_unrecoverable-20251204-113405/verus-repair.log
claude-s4,VE,VE__regular__repetition__impl2__theorem_parse_serialize_roundtrip_helper.rs,FAILED,560458,claude,234716,12,postcondition_repair INDUCTION SEQSETMAP INDUCTION INDUCTIVE_LEMMA INDUCTION REVEAL_WITH_FUEL termination_repair REVEAL_WITH_FUEL SEQSETMAP SEQSETMAP,all_batch_results-cyy-claude-s4/results-batch_008/o-VE__regular__repetition__impl2__theorem_parse_serialize_roundtrip_helper-20251204-113948/verus-repair.log,all_batch_results-cyy-claude/results-batch_008/o-VE__regular__repetition__impl2__theorem_parse_serialize_roundtrip_helper-20251202-134613/verus-repair.log
claude-s4,OS,OS__slinkedlist__spec_impl_u__impl2__remove_helper1.rs,FAILED,560045,o4mini,622029,15,postcondition_repair USELEMMA SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper1-20251204-142759/verus-repair.log,all_batch_results-cyy-o4mini/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper1-20251129-155355/verus-repair.log
claude-s4,OS,OS__slinkedlist__spec_impl_u__impl2__push.rs,FAILED,559509,claude,594042,16,postcondition_repair postcondition_repair CASE_ANALYSIS CASE_ANALYSIS SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP INSTANTIATE_FORALL SEQSETMAP SEQSETMAP SEQSETMAP,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__push-20251204-141849/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__push-20251202-135702/verus-repair.log
claude-s4,IR,IR__host_impl_v__impl2__parse_end_points.rs,FAILED,557793,claude,59861,7,loopnodec_repair postcondition_repair postcondition_repair INSTANTIATE_EXISTS LOOPINV LOOPINV,all_batch_results-cyy-claude-s4/results-batch_002/o-IR__host_impl_v__impl2__parse_end_points-20251203-091838/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__host_impl_v__impl2__parse_end_points-20251201-031733/verus-repair.log
gpt5,OS,OS__pagetable__pagemap__impl0__init.rs,TIMEOUT,556933,claude,47043,6,postcondition_repair postcondition_repair precondition_repair LOOPINV LOOPINV,all_batch_results-cyy-gpt5/results-batch_006/o-OS__pagetable__pagemap__impl0__init-20251129-050911/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__pagetable__pagemap__impl0__init-20251202-101417/verus-repair.log
o4mini,ST,ST__subregion_serialize_and_write_relative3.rs,FAILED,555459,claude,56866,5,postcondition_repair precondition_repair EXTENSIONAL_EQUALITY EXTENSIONAL_EQUALITY,all_batch_results-cyy-o4mini/results-batch_008/o-ST__subregion_serialize_and_write_relative3-20251129-085341/verus-repair.log,all_batch_results-cyy-claude/results-batch_008/o-ST__subregion_serialize_and_write_relative3-20251202-123818/verus-repair.log
gpt5,IR,IR__marshal_v__impl4__lemma_serialize_injective.rs,TIMEOUT,553930,o4mini,321478,15,postcondition_repair INDUCTION CASE_ANALYSIS INDUCTION INDUCTION INDUCTION INDUCTION INSTANTIATE_FORALL precondition_repair CASE_ANALYSIS SEQSETMAP SEQSETMAP,all_batch_results-cyy-gpt5/results-batch_003/o-IR__marshal_v__impl4__lemma_serialize_injective-20251127-004200/verus-repair.log,all_batch_results-cyy-o4mini/results-batch_003/o-IR__marshal_v__impl4__lemma_serialize_injective-20251127-011000/verus-repair.log
o4mini,VE,VE__regular__repetition__impl2__theorem_parse_serialize_roundtrip_helper.rs,FAILED,553574,claude,234716,12,postcondition_repair INDUCTION SEQSETMAP INDUCTION INDUCTIVE_LEMMA INDUCTION REVEAL_WITH_FUEL termination_repair REVEAL_WITH_FUEL SEQSETMAP SEQSETMAP,all_batch_results-cyy-o4mini/results-batch_008/o-VE__regular__repetition__impl2__theorem_parse_serialize_roundtrip_helper-20251129-125846/verus-repair.log,all_batch_results-cyy-claude/results-batch_008/o-VE__regular__repetition__impl2__theorem_parse_serialize_roundtrip_helper-20251202-134613/verus-repair.log
claude,AL,AL__tla_forall_leads_to_equality1.rs,FAILED,549437,gpt5,40970,4,postcondition_repair CASE_ANALYSIS EXTENSIONAL_EQUALITY,all_batch_results-cyy-claude/results-batch_002/o-AL__tla_forall_leads_to_equality1-20251130-193853/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-AL__tla_forall_leads_to_equality1-20251125-235223/verus-repair.log
gpt5,NR,NR__spec_t__hlspec__next_step_preserves_inv.rs,TIMEOUT,541967,claude,708669,15,postcondition_repair INSTANTIATE_FORALL ADD_TRIGGER_ASSERT INSTANTIATE_FORALL ADD_TRIGGER_ASSERT SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP ADD_TRIGGER_ASSERT CASE_ANALYSIS INSTANTIATE_EXISTS,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__hlspec__next_step_preserves_inv-20251128-101852/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__hlspec__next_step_preserves_inv-20251202-000120/verus-repair.log
o4mini,OS,OS__process_manager__container_tree__no_child_imply_no_subtree.rs,FAILED,540143,claude,77521,5,postcondition_repair EXTENSIONAL_EQUALITY CASE_ANALYSIS ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_007/o-OS__process_manager__container_tree__no_child_imply_no_subtree-20251129-054814/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__process_manager__container_tree__no_child_imply_no_subtree-20251202-090756/verus-repair.log
o4mini,NR,NR__spec_t__hlproof__unmap_start_preserves_inv.rs,TIMEOUT,538767,claude,119597,7,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_EXISTS CASE_ANALYSIS USELEMMA,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__hlproof__unmap_start_preserves_inv-20251128-142836/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__hlproof__unmap_start_preserves_inv-20251201-235750/verus-repair.log
gpt5,IR,IR__host_impl_v__impl2__parse_end_points.rs,TIMEOUT,538530,claude,59861,7,loopnodec_repair postcondition_repair postcondition_repair INSTANTIATE_EXISTS LOOPINV LOOPINV,all_batch_results-cyy-gpt5/results-batch_002/o-IR__host_impl_v__impl2__parse_end_points-20251126-142733/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__host_impl_v__impl2__parse_end_points-20251201-031733/verus-repair.log
gpt5,MA,MA__commit_mask__lemma_obtain_bit_index_1_aux.rs,TIMEOUT,536177,o4mini,130600,14,postcondition_repair postcondition_repair postcondition_repair postcondition_repair precondition_repair precondition_repair precondition_repair precondition_repair precondition_repair BIT_VECTOR_REASONING precondition_repair BIT_VECTOR_REASONING,all_batch_results-cyy-gpt5/results-batch_004/o-MA__commit_mask__lemma_obtain_bit_index_1_aux-20251126-210400/verus-repair.log,all_batch_results-cyy-o4mini/results-batch_004/o-MA__commit_mask__lemma_obtain_bit_index_1_aux-20251127-013744/verus-repair.log
gpt5,MA,MA__pigeonhole__pigeonhole_missing_idx_implies_double_helper.rs,TIMEOUT,534801,claude,318707,14,postcondition_repair USELEMMA USELEMMA INDUCTION precondition_repair SEQSETMAP precondition_repair SEQSETMAP precondition_repair USELEMMA SEQSETMAP EXTENSIONAL_EQUALITY,all_batch_results-cyy-gpt5/results-batch_004/o-MA__pigeonhole__pigeonhole_missing_idx_implies_double_helper-20251127-024732/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-MA__pigeonhole__pigeonhole_missing_idx_implies_double_helper-20251201-111934/verus-repair.log
claude,MA,MA__pigeonhole__pigeonhole_too_many_elements_implies_double.rs,FAILED,534206,gpt5,61062,7,postcondition_repair postcondition_repair precondition_repair CASE_ANALYSIS precondition_repair CASE_ANALYSIS,all_batch_results-cyy-claude/results-batch_004/o-MA__pigeonhole__pigeonhole_too_many_elements_implies_double-20251201-112854/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_004/o-MA__pigeonhole__pigeonhole_too_many_elements_implies_double-20251127-031732/verus-repair.log
claude-s4,ST,ST__subregion_write_relative.rs,FAILED,531943,claude,133289,9,postcondition_repair precondition_repair precondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_008/o-ST__subregion_write_relative-20251204-104318/verus-repair.log,all_batch_results-cyy-claude/results-batch_008/o-ST__subregion_write_relative-20251202-124338/verus-repair.log
claude,VE,VE__regular__repetition__impl2__theorem_serialize_parse_roundtrip_helper.rs,FAILED,529894,gpt5,94177,6,postcondition_repair INDUCTION INDUCTION INDUCTION INDUCTION,all_batch_results-cyy-claude/results-batch_008/o-VE__regular__repetition__impl2__theorem_serialize_parse_roundtrip_helper-20251202-135248/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_008/o-VE__regular__repetition__impl2__theorem_serialize_parse_roundtrip_helper-20251129-184229/verus-repair.log
claude-s4,NR,NR__spec_t__hlproof__insert_map_preserves_unique.rs,FAILED,529701,gpt5,187301,9,postcondition_repair INSTANTIATE_FORALL CASE_ANALYSIS SEQSETMAP EXTENSIONAL_EQUALITY INSTANTIATE_FORALL INSTANTIATE_EXISTS INSTANTIATE_FORALL,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__spec_t__hlproof__insert_map_preserves_unique-20251204-021730/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__hlproof__insert_map_preserves_unique-20251128-083651/verus-repair.log
o4mini,MA,MA__bin_sizes__result_smallest_bin_fitting_size_size_of_bin.rs,TIMEOUT,525248,claude,17842,3,postcondition_repair INDUCTION,all_batch_results-cyy-o4mini/results-batch_003/o-MA__bin_sizes__result_smallest_bin_fitting_size_size_of_bin-20251127-174726/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-MA__bin_sizes__result_smallest_bin_fitting_size_size_of_bin-20251201-131734/verus-repair.log
o4mini,IR,IR__verus_extra__lemma_seq_push_to_set.rs,TIMEOUT,524268,gpt5,49941,5,postcondition_repair EXTENSIONAL_EQUALITY EXTENSIONAL_EQUALITY SEQSETMAP,all_batch_results-cyy-o4mini/results-batch_003/o-IR__verus_extra__lemma_seq_push_to_set-20251127-112732/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_003/o-IR__verus_extra__lemma_seq_push_to_set-20251127-121126/verus-repair.log
claude-s4,OS,OS__process_manager__process_tree__no_child_imply_no_subtree.rs,FAILED,523854,gpt5,97082,5,postcondition_repair EXTENSIONAL_EQUALITY INSTANTIATE_FORALL INSTANTIATE_FORALL,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__process_manager__process_tree__no_child_imply_no_subtree-20251204-133001/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__process_tree__no_child_imply_no_subtree-20251129-143503/verus-repair.log
claude-s4,IR,IR__marshal_v__impl4__lemma_serialize_injective.rs,FAILED,523032,o4mini,321478,15,postcondition_repair INDUCTION CASE_ANALYSIS INDUCTION INDUCTION INDUCTION INDUCTION INSTANTIATE_FORALL precondition_repair CASE_ANALYSIS SEQSETMAP SEQSETMAP,all_batch_results-cyy-claude-s4/results-batch_003/o-IR__marshal_v__impl4__lemma_serialize_injective-20251203-125352/verus-repair.log,all_batch_results-cyy-o4mini/results-batch_003/o-IR__marshal_v__impl4__lemma_serialize_injective-20251127-011000/verus-repair.log
gpt5,NO,NO__spec__unbounded_log__LogRangeMatchesQueue_append_other_augment.rs,TIMEOUT,522744,claude-s4,53267,5,postcondition_repair INDUCTION CASE_ANALYSIS INDUCTION,all_batch_results-cyy-gpt5/results-batch_004/o-NO__spec__unbounded_log__LogRangeMatchesQueue_append_other_augment-20251127-060238/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_004/o-NO__spec__unbounded_log__LogRangeMatchesQueue_append_other_augment-20251203-143616/verus-repair.log
o4mini,IR,IR__marshal_ironsht_specific_v__impl2__lemma_serialize_injective.rs,FAILED,521331,gpt5,47353,4,postcondition_repair USELEMMA USELEMMA,all_batch_results-cyy-o4mini/results-batch_002/o-IR__marshal_ironsht_specific_v__impl2__lemma_serialize_injective-20251126-190246/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-IR__marshal_ironsht_specific_v__impl2__lemma_serialize_injective-20251126-171034/verus-repair.log
claude,VE,VE__regular__leb128__impl2__lemma_spec_serialize_length.rs,FAILED,515537,gpt5,96883,6,postcondition_repair REVEAL_WITH_FUEL INDUCTION INDUCTION bitvassert_repair,all_batch_results-cyy-claude/results-batch_008/o-VE__regular__leb128__impl2__lemma_spec_serialize_length-20251202-130911/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_008/o-VE__regular__leb128__impl2__lemma_spec_serialize_length-20251129-155617/verus-repair.log
o4mini,MA,MA__bin_sizes__idx_in_range_has_bin_size.rs,FAILED,512226,gpt5,87276,5,postcondition_repair CASE_ANALYSIS COMPUTE REVEAL_OPAQUE,all_batch_results-cyy-o4mini/results-batch_003/o-MA__bin_sizes__idx_in_range_has_bin_size-20251127-143147/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_003/o-MA__bin_sizes__idx_in_range_has_bin_size-20251127-144558/verus-repair.log
o4mini,NR,NR__spec_t__mmu__rl2__lemma_finish_iter_walk_invalid_after_nonpos_write.rs,FAILED,510552,gpt5,132491,7,postcondition_repair CASE_ANALYSIS BIT_VECTOR_REASONING plain_text_repair bitvassert_repair bitvassert_repair,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_finish_iter_walk_invalid_after_nonpos_write-20251128-174326/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_finish_iter_walk_invalid_after_nonpos_write-20251128-133127/verus-repair.log
o4mini,MA,MA__bin_sizes__result_idx_in_range_has_bin_size.rs,FAILED,509997,claude,9385,2,postcondition_repair,all_batch_results-cyy-o4mini/results-batch_003/o-MA__bin_sizes__result_idx_in_range_has_bin_size-20251127-165201/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-MA__bin_sizes__result_idx_in_range_has_bin_size-20251201-130346/verus-repair.log
o4mini,ST,ST__subregion_write_relative.rs,FAILED,509977,claude,133289,9,postcondition_repair precondition_repair precondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_008/o-ST__subregion_write_relative-20251129-093905/verus-repair.log,all_batch_results-cyy-claude/results-batch_008/o-ST__subregion_write_relative-20251202-124338/verus-repair.log
o4mini,OS,OS__pagetable__pagetable_impl_base__impl0__get_entry_l3.rs,FAILED,506616,gpt5,102522,5,postcondition_repair postcondition_repair precondition_repair INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_007/o-OS__pagetable__pagetable_impl_base__impl0__get_entry_l3-20251129-013133/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_007/o-OS__pagetable__pagetable_impl_base__impl0__get_entry_l3-20251129-004636/verus-repair.log
o4mini,AL,AL__leads_to_always_combine.rs,TIMEOUT,505954,gpt5,71241,5,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_EXISTS INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_001/o-AL__leads_to_always_combine-20251126-231324/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AL__leads_to_always_combine-20251126-193648/verus-repair.log
claude-s4,AL,AL__leads_to_always_tla_forall.rs,FAILED,504092,claude,340350,17,postcondition_repair INSTANTIATE_FORALL CASE_ANALYSIS INSTANTIATE_FORALL INDUCTIVE_LEMMA INSTANTIATE_EXISTS ADD_TRIGGER_ASSERT EXTENSIONAL_EQUALITY INDUCTIVE_LEMMA postcondition_repair SEQSETMAP INSTANTIATE_FORALL,all_batch_results-cyy-claude-s4/results-batch_001/o-AL__leads_to_always_tla_forall-20251203-120709/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AL__leads_to_always_tla_forall-20251201-091346/verus-repair.log
gpt5,NR,NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_pt_walk_not_wraddr_in_path.rs,TIMEOUT,504043,claude,211488,8,postcondition_repair USELEMMA INSTANTIATE_FORALL CASE_ANALYSIS ADD_TRIGGER_ASSERT CASE_ANALYSIS COMPUTE,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_pt_walk_not_wraddr_in_path-20251128-161617/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_pt_walk_not_wraddr_in_path-20251202-020951/verus-repair.log
o4mini,IR,IR__marshal_v__impl5__lemma_serialization_is_not_a_prefix_of.rs,FAILED,502334,claude,212545,11,postcondition_repair CASE_ANALYSIS precondition_repair CASE_ANALYSIS SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_003/o-IR__marshal_v__impl5__lemma_serialization_is_not_a_prefix_of-20251127-025520/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-IR__marshal_v__impl5__lemma_serialization_is_not_a_prefix_of-20251201-083452/verus-repair.log
o4mini,ST,ST__logimpl_L_check_fast_way_to_compute_head_mod_log_area_len.rs,TIMEOUT,501827,claude-s4,52322,5,postcondition_repair NONLINEAR_ARITHMETIC INTEGER_RING NONLINEAR_ARITHMETIC,all_batch_results-cyy-o4mini/results-batch_007/o-ST__logimpl_L_check_fast_way_to_compute_head_mod_log_area_len-20251129-231137/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_007/o-ST__logimpl_L_check_fast_way_to_compute_head_mod_log_area_len-20251204-172518/verus-repair.log
o4mini,ST,ST__inv_L_header_bytes_equal_implies_active_metadata_bytes_equal.rs,FAILED,501354,gpt5,65926,4,postcondition_repair USELEMMA INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_007/o-ST__inv_L_header_bytes_equal_implies_active_metadata_bytes_equal-20251129-203133/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_007/o-ST__inv_L_header_bytes_equal_implies_active_metadata_bytes_equal-20251130-003202/verus-repair.log
claude,IR,IR__verus_extra__lemma_seq_fold_left_sum_le.rs,FAILED,498376,gpt5,52875,5,postcondition_repair INDUCTION INDUCTION NONLINEAR_ARITHMETIC,all_batch_results-cyy-claude/results-batch_003/o-IR__verus_extra__lemma_seq_fold_left_sum_le-20251201-112026/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_003/o-IR__verus_extra__lemma_seq_fold_left_sum_le-20251127-113544/verus-repair.log
o4mini,AL,AL__leads_to_apply.rs,TIMEOUT,497585,claude,32744,5,postcondition_repair INSTANTIATE_FORALL ADD_TRIGGER_ASSERT precondition_repair,all_batch_results-cyy-o4mini/results-batch_001/o-AL__leads_to_apply-20251127-001117/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AL__leads_to_apply-20251201-092352/verus-repair.log
o4mini,MA,MA__pigeonhole__pigeonhole_missing_idx_implies_double_helper.rs,TIMEOUT,496915,claude,318707,14,postcondition_repair USELEMMA USELEMMA INDUCTION precondition_repair SEQSETMAP precondition_repair SEQSETMAP precondition_repair USELEMMA SEQSETMAP EXTENSIONAL_EQUALITY,all_batch_results-cyy-o4mini/results-batch_004/o-MA__pigeonhole__pigeonhole_missing_idx_implies_double_helper-20251127-051834/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-MA__pigeonhole__pigeonhole_missing_idx_implies_double_helper-20251201-111934/verus-repair.log
claude-s4,ST,ST__pmemutil_check_cdb.rs,FAILED,496669,gpt5,124503,8,postcondition_repair precondition_repair INSTANTIATE_EXISTS CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_008/o-ST__pmemutil_check_cdb-20251204-091934/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_008/o-ST__pmemutil_check_cdb-20251129-092827/verus-repair.log
claude,ST,ST__pmemutil_check_cdb.rs,FAILED,496316,gpt5,124503,8,postcondition_repair precondition_repair INSTANTIATE_EXISTS CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS,all_batch_results-cyy-claude/results-batch_008/o-ST__pmemutil_check_cdb-20251202-113432/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_008/o-ST__pmemutil_check_cdb-20251129-092827/verus-repair.log
o4mini,MA,MA__pigeonhole__lemma_nat_range.rs,FAILED,494313,claude,56813,6,postcondition_repair INDUCTION INDUCTION INDUCTION INDUCTION,all_batch_results-cyy-o4mini/results-batch_004/o-MA__pigeonhole__lemma_nat_range-20251127-044535/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-MA__pigeonhole__lemma_nat_range-20251201-111541/verus-repair.log
gpt5,ST,ST__logimpl_update_inactive_log_metadata.rs,TIMEOUT,493593,claude,213317,11,postcondition_repair precondition_repair precondition_repair precondition_repair EXTENSIONAL_EQUALITY CASE_ANALYSIS USELEMMA USELEMMA ADD_TRIGGER_ASSERT EXTENSIONAL_EQUALITY,all_batch_results-cyy-gpt5/results-batch_007/o-ST__logimpl_update_inactive_log_metadata-20251130-064437/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-ST__logimpl_update_inactive_log_metadata-20251202-190502/verus-repair.log
claude-s4,AL,AL__tla_exists_and_equality.rs,TIMEOUT,493161,claude,45589,5,postcondition_repair INSTANTIATE_EXISTS ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-claude-s4/results-batch_002/o-AL__tla_exists_and_equality-20251202-210621/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-AL__tla_exists_and_equality-20251130-175846/verus-repair.log
gpt5,ST,ST__logimpl_advance_head.rs,TIMEOUT,491470,claude-s4,517676,16,postcondition_repair postcondition_repair precondition_repair precondition_repair precondition_repair precondition_repair precondition_repair precondition_repair COMPUTE INSTANTIATE_FORALL USELEMMA INSTANTIATE_FORALL,all_batch_results-cyy-gpt5/results-batch_007/o-ST__logimpl_advance_head-20251130-040114/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_007/o-ST__logimpl_advance_head-20251204-172817/verus-repair.log
gpt5,IR,IR__single_delivery_model_impl2__receive_ack_impl.rs,TIMEOUT,490905,claude,293116,10,postcondition_repair precondition_repair ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL,all_batch_results-cyy-gpt5/results-batch_003/o-IR__single_delivery_model_impl2__receive_ack_impl-20251127-052440/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-IR__single_delivery_model_impl2__receive_ack_impl-20251201-091547/verus-repair.log
o4mini,NR,NR__impl_u__wrapped_token__impl3__new.rs,TIMEOUT,489671,claude-s4,89524,3,postcondition_repair precondition_repair,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__wrapped_token__impl3__new-20251128-104434/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__impl_u__wrapped_token__impl3__new-20251204-014524/verus-repair.log
gpt5,MA,MA__layout__impl__calculate_page_block_at.rs,TIMEOUT,489264,claude-s4,3663,2,arithmetic_overflow_repair,all_batch_results-cyy-gpt5/results-batch_004/o-MA__layout__impl__calculate_page_block_at-20251127-005021/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_004/o-MA__layout__impl__calculate_page_block_at-20251203-132416/verus-repair.log
gpt5,NR,NR__extra__subtract_mod_eq_zero.rs,TIMEOUT,488887,claude,256514,17,postcondition_repair NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC CASE_ANALYSIS INTEGER_RING INTEGER_RING INTEGER_RING NONLINEAR_ARITHMETIC INTEGER_RING INTEGER_RING INTEGER_RING,all_batch_results-cyy-gpt5/results-batch_004/o-NR__extra__subtract_mod_eq_zero-20251127-103207/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-NR__extra__subtract_mod_eq_zero-20251201-132345/verus-repair.log
gpt5,IR,IR__seq_is_unique__endpoints_contain.rs,TIMEOUT,488748,claude,17256,5,loopnodec_repair postcondition_repair postcondition_repair LOOPINV,all_batch_results-cyy-gpt5/results-batch_003/o-IR__seq_is_unique__endpoints_contain-20251127-042440/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-IR__seq_is_unique__endpoints_contain-20251201-091219/verus-repair.log
gpt5,NR,NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_walk_unchanged.rs,TIMEOUT,488479,claude,104127,5,postcondition_repair CASE_ANALYSIS CASE_ANALYSIS COMPUTE,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_walk_unchanged-20251128-164617/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_walk_unchanged-20251202-021504/verus-repair.log
o4mini,NR,NR__impl_u__l1__impl2__lemma_entries_interp_insert_implies_interp_aux_insert.rs,FAILED,488367,gpt5,148840,7,postcondition_repair INDUCTION CASE_ANALYSIS EXTENSIONAL_EQUALITY CASE_ANALYSIS USELEMMA,all_batch_results-cyy-o4mini/results-batch_004/o-NR__impl_u__l1__impl2__lemma_entries_interp_insert_implies_interp_aux_insert-20251127-144723/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_004/o-NR__impl_u__l1__impl2__lemma_entries_interp_insert_implies_interp_aux_insert-20251127-114017/verus-repair.log
